No.,section,index_entry
809,Classification of Wide Characters,iswblank
810,Classification of Wide Characters,iswcntrl
811,Classification of Wide Characters,iswctype
812,Classification of Wide Characters,iswdigit
813,Classification of Wide Characters,iswgraph
814,Classification of Wide Characters,iswlower
815,Classification of Wide Characters,iswprint
816,Classification of Wide Characters,iswpunct
817,Classification of Wide Characters,iswspace
818,Classification of Wide Characters,iswupper
819,Classification of Wide Characters,iswxdigit
820,Classification of Characters,isxdigit
821,Floating Point Classes,iszero
822,Special Functions,j0
823,Special Functions,j0f
824,Special Functions,j0fN
825,Special Functions,j0fNx
826,Special Functions,j0l
827,Special Functions,j1
828,Special Functions,j1f
829,Special Functions,j1fN
830,Special Functions,j1fNx
831,Special Functions,j1l
832,Special Functions,jn
833,Special Functions,jnf
834,Special Functions,jnfN
835,Special Functions,jnfNx
836,Special Functions,jnl
837,SVID Random,jrand48
838,SVID Random,jrand48_r
839,Signaling Another Process,kill
840,Signaling Another Process,killpg
841,Encode Binary Data,l64a
842,Absolute Value,labs
843,SVID Random,lcong48
844,SVID Random,lcong48_r
845,Normalization Functions,ldexp
846,Normalization Functions,ldexpf
847,Normalization Functions,ldexpfN
848,Normalization Functions,ldexpfNx
849,Normalization Functions,ldexpl
850,Integer Division,ldiv
851,Array Search Function,lfind
852,Special Functions,lgamma
853,Special Functions,lgammaf
854,Special Functions,lgammafN
855,Special Functions,lgammafNx
856,Special Functions,lgammafNx_r
